Landing Page,Product Brand,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,,,,
/product/and-other-stories-polka-dot-shirt/WKQZz0zt_QAFTWoY,& Other Stories,50,32.00%,16,28.00%,1.3,,,,
/product/hudson-shoes-maddie-brogue/WNASdEzt_QAHpATi,Hudson Shoes,50,44.00%,22,34.00%,1.2,,,,
/product/jaeger-flannel-wide-leg-trousers/WCE6TsnnfAAGtaHD,Jaeger,50,40.00%,20,24.00%,1.14,,,,
/product/whistles-sil-vous-plait-logo-t-shirt/WJg5v8nnfAAGDD_5,Whistles,50,24.00%,12,20.00%,1.14,,,,
/product/zara-plumetis-tunic-blouse/V6mUFkzt_QAG0qKo,Zara,50,94.00%,47,42.00%,1.3,,,,
/product/cos-chunky-heel-suede-pumps/WI47Gc_0fgAFj-T-,COS,49,46.94%,23,38.78%,1.1,,,,
/product/finery-stella-suede-sling-back/WMCenEzt_QAF45uU,Finery,48,22.92%,11,14.58%,1.6,,,,
/product/whistles-lily-and-lionel-animal-scarf/WNB-bcnnfAAGAg-9,Whistles,48,22.92%,11,16.67%,1.5,,,,
/product/boden-alice-leopard-print-boot/WDxCBUzt_QAHPEJp,Boden,47,34.04%,16,27.66%,1.36,,,,
/product/kg-kurt-geiger-knox-flat-brogue-shoes/WMuU_snnfAAF7BK3,KG Kurt Geiger,47,8.51%,4,8.51%,2.62,,,,
/product/kurt-geiger-london-mayfair-ribbon-pumps/VwO13-Sw-CgQCwCS,Kurt Geiger London,47,44.68%,21,29.79%,1.11,,,,
/product/me-and-em-stripe-crop-pant/WIfnIMnnfAAFKlvU,ME and EM,47,34.04%,16,27.66%,1.11,,,,
/product/sportmax-code-striped-shirt/WK2gb0zt_QAGKoxq,Sportmax,47,46.81%,22,36.17%,1.04,,,,
/product/and-other-stories-camo-jacket/WNGTj8nnfAAHGarB,& Other Stories,46,56.52%,26,50.00%,1.11,,,,
/product/hush-flat-leopard-shoes/WLLCa8nnfAAGrB-w,Hush,46,28.26%,13,28.26%,1.04,,,,
/product/jaeger-icon-cross-body-bag/WNJCDcnnfAAGvzqC,Jaeger,46,36.96%,17,30.43%,1.28,,,,
/product/jigsaw-a-line-skirt/WJnc68nnfAAHARZf,Jigsaw,46,30.43%,14,28.26%,1.04,,,,
/product/and-other-stories-pleated-cuff-shirt/WLxS-Ezt_QAGOl7S,& Other Stories,45,42.22%,19,31.11%,1.2,,,,
/product/boden-pony-slipper-shoes/WBp411L6_wAGC-wq,Boden,45,4.44%,2,2.22%,1.22,,,,
/product/coast-lui-blush-bow-pencil-skirt/WLla_snnfAAFrdcj,Coast,45,84.44%,38,62.22%,1.42,,,,
/product/ganni-murphy-cherry-t-shirt/VzwuyuSwe9B19hjd,Ganni,45,80.00%,36,37.78%,1.4,,,,
/product/gucci-dionysus-mini-shoulder-bag/VtSQjeSw01U8QJi2,Gucci,45,80.00%,36,51.11%,1.42,,,,
/product/warehouse-tops-stitch-shirt-dress/WLDeD0zt_QAGaNx6,Warehouse,45,31.11%,14,28.89%,1.24,,,,
/product/etre-cecile-je-parle-martien-t-shirt/WB35DtYBgAAFx9a5,Etre Cecile,44,27.27%,12,20.45%,1.07,,,,
/product/finery-aylton-leather-mis-match-earrings/WJj1PUzt_QAGvpJ9,Finery,44,45.45%,20,34.09%,1.41,,,,
/product/me-and-em-swing-tie-neck-shirt/WIfmOMnnfAAF1PFq,ME+EM,44,34.09%,15,22.73%,1.3,,,,
/product/zara-embroidered-military-jacket/V95vlcnnfAAFouUi,Zara,44,68.18%,30,27.27%,1.32,,,,
/product/and-other-stories-lace-up-stiletto-boots/WIkIAsnnfAAHnl29,& Other Stories,43,16.28%,7,11.63%,2.09,,,,
/product/dr-martens-tina-polished-boots/WCrC1snnfAAFFrWR,Dr. Martens,43,18.60%,8,18.60%,1.07,,,,
/product/finery-belshaw-skirt/WKDgh8nnfAAGbPGd,Finery,43,51.16%,22,41.86%,1.19,,,,
/product/jigsaw-adya-trainers/VmSOueSwX6ACgT2G,Jigsaw,43,32.56%,14,25.58%,1.42,,,,
/product/me-plus-em-the-perfect-button-cuff-crew/WMfzLsnnfAAFgQwM,ME+EM,43,27.91%,12,25.58%,1.42,,,,
/product/topshop-vinyl-leggings/VCWizOSwW9Gep22F,Topshop,43,88.37%,38,41.86%,1.21,,,,
/product/whistles-medlock-belted-jacket/V-fDGcnnfAAGZ9k-,Whistles,43,37.21%,16,23.26%,1.14,,,,
/product/mango-face-earrings/WJSP40zt_QAFi1o-,Mango,42,90.48%,38,23.81%,1.29,,,,
/product/max-mara-prism-cateye-sunglasses/WLbLBsnnfAAF_SEr,Max Mara,42,33.33%,14,26.19%,1.31,,,,
/product/reformation-not-your-baby-jacket/VtR8D-Sw01U8QJXE,Reformation,42,95.24%,40,71.43%,1.12,,,,
/product/sandro-abby-pouch/WI4se8_0fgAFj9eK,Sandro,42,38.10%,16,38.10%,1.1,,,,
/product/uterque-culottes-with-contrasting-topstitching/WMsi1snnfAAGAmc-,UterqÃ_e,42,61.90%,26,52.38%,1.31,,,,
/product/whistles-turtle-neck-tie-front-knit/WIIKIsnnfAAGacG2,Whistles,42,35.71%,15,33.33%,1.12,,,,
/product/curriculum-vitae-gemma-sheer-bra/VrH2w-Swto2ZfOzJ,Curriculum Vitae,41,100.00%,41,46.34%,1.39,,,,
/product/emporio-armani-watch/V2klB0zt_QAGbaEg,Emporio Armani,41,17.07%,7,14.63%,1.15,,,,
/product/finery-casella-dress/WLTlt8nnfAAFX7O3,Finery,41,34.15%,14,31.71%,1.2,,,,
/product/and-other-stories-leather-skirt/WGW6p8_0fgAGDhJW,& Other Stories,40,35.00%,14,32.50%,1.2,,,,
/product/hades-the-slits-jumper/V7NzSUzt_QAFHhWc,Hades,40,87.50%,35,57.50%,1.2,,,,
/product/warehouse-open-back-dress/WLU-28nnfAAFUZdY,Warehouse,40,15.00%,6,10.00%,1.15,,,,
/product/french-connection-piercing-orbiting-asymmetrical-earrings/WJSWWEzt_QAFi2A0,French Connection,39,28.21%,11,23.08%,1.1,,,,
/product/me-and-em-am-to-pm-chain/WE_KD8_0fgAG8nmX,ME+EM,39,30.77%,12,28.21%,1.13,,,,
/product/nike-classic-cortez-velvet-sneakers/WH2QIcnnfAAGoHOX,Nike,39,92.31%,36,38.46%,1.08,,,,
/product/warehouse-zig-zag-trousers/WMArEMnnfAAG1V8b,Warehouse,39,5.13%,2,2.56%,2.92,,,,
/product/boden-isabelle-dress/WKRnakzt_QAFTg_n,Boden,38,26.32%,10,23.68%,1.55,,,,
/product/dkny-chain-pocket-cross-body-bag/WJ17a8nnfAAGrIoK,DKNY,38,60.53%,23,57.89%,1.11,,,,
/product/finery-boxmore-peg-trousers/WMWjS8nnfAAFg7io,Finery,38,42.11%,16,39.47%,1.34,,,,
/product/marc-jacobs-printed-t-shirt/WJg49snnfAAGDD8n,Marc Jacobs,38,28.95%,11,18.42%,1.11,,,,
/product/pretty-little-thing-daphne-yellow-pvc-mini-skirt/VA9sNeSwb3VtUetp,Pretty Little Thing,38,92.11%,35,42.11%,1.18,,,,
/product/claudie-pierlot-anouk-shoes/WKRVrUzt_QAFTewB,Claudie Pierlot,37,51.35%,19,45.95%,1.11,,,,
/product/mango-heeled-leather-shoes/WK6kZMnnfAAFF5Ww,Mango,37,40.54%,15,37.84%,1.19,,,,
/product/markus-lupfer-lips-printed-t-shirt/WKWHu0zt_QAFzP_4,Markus Lupfer,37,43.24%,16,35.14%,1.11,,,,
/product/the-fold-florence-scarf/WMf_LsnnfAAG-Yxn,The Fold,37,51.35%,19,48.65%,1.19,,,,
/product/and-other-stories-c-est-la-vie-sweater/WG--PM_0fgAGeYOG,& Other Stories,36,75.00%,27,44.44%,1.28,,,,
/product/finery-rosecroft-top/WJzF1kzt_QAFKSIj,Finery,36,22.22%,8,19.44%,1.31,,,,
/product/isabel-marant-etoile-janey-checked-blazer/WJiKgUzt_QAGvZpS,Isabel Marant Ã‰toile,36,77.78%,28,52.78%,1.28,,,,
/product/me-and-em-true-chic-stripe-jumper/WKVkCkzt_QAFzBIA,ME and EM,36,27.78%,10,19.44%,1.22,,,,
